block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.869087,156534,0.904728,1.810712,1.829560,0.918550,722,0.666890,361,0.457147,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.822826,90.000000,0.484330,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.628487,156137,0.907028,1.815316,1.834212,0.920885,722,0.665358,361,0.450207,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.824919,90.000000,0.485561,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.853333,156508,0.904878,1.811013,1.829864,0.918702,722,0.658363,361,0.469950,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.822963,90.000000,0.484410,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.538788,155989,0.907889,1.817038,1.835953,0.921759,722,0.678285,361,0.477534,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.825701,90.000000,0.486022,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.321213,155630,0.909983,1.821230,1.840188,0.923885,722,0.638804,361,0.454205,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.827606,90.000000,0.487143,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.360001,155694,0.909609,1.820481,1.839431,0.923506,722,0.656307,361,0.455085,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.827266,90.000000,0.486943,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.412125,155780,0.909107,1.819476,1.838416,0.922996,722,0.650520,361,0.453319,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.826809,90.000000,0.486674,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.681816,156225,0.906517,1.814293,1.833179,0.920367,722,0.653205,361,0.446107,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.824454,90.000000,0.485288,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.498787,155923,0.908273,1.817807,1.836730,0.922149,722,0.661314,361,0.468731,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.826051,90.000000,0.486227,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.746666,156332,0.905897,1.813051,1.831924,0.919737,722,0.657261,361,0.452326,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.823890,90.000000,0.484955,
