block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.849693,154852,7.653333,0.081549,63.931515,0.681212,2.686947,42.246059,0.450146,2.031685,0.000000,92.809090,0.988912,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.527879,1.102424,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.801819,154773,7.653333,0.081590,61.835758,0.659217,2.778014,40.834545,0.435328,2.101913,0.000000,92.891518,0.990295,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.435152,1.101212,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.211517,155449,7.653333,0.081236,62.592121,0.664379,2.744444,42.109093,0.446963,2.038293,0.000000,93.239998,0.989688,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.495152,1.101212,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.845451,154845,7.653333,0.081553,61.081211,0.650870,2.812331,41.221817,0.439252,2.082166,0.000000,92.863029,0.989531,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.867273,1.164242,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.323029,155633,7.653333,0.081140,61.787273,0.655060,2.780194,41.267273,0.437510,2.079873,0.000000,93.279999,0.988942,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.490303,1.261818,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.789093,156402,7.653333,0.080741,61.883030,0.652850,2.775892,42.619999,0.449630,2.013860,0.000000,93.687271,0.988376,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.869091,1.130909,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.440002,155826,7.653333,0.081039,61.736969,0.653716,2.782459,42.427273,0.449251,2.023007,0.000000,94.184845,0.997298,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.537576,1.037576,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.869087,156534,7.653333,0.080673,63.267273,0.666890,2.715157,43.369091,0.457147,1.979075,0.000000,93.730301,0.987996,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.446667,1.037576,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.628487,156137,7.653333,0.080878,62.961819,0.665358,2.728329,42.602425,0.450207,2.014690,0.000000,93.508484,0.988164,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.512121,1.004242,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.853333,156508,7.653333,0.080686,62.447880,0.658363,2.750783,44.576363,0.469950,1.925475,0.000000,93.888481,0.989828,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.450303,1.292121,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.538788,155989,7.653333,0.080954,64.124245,0.678285,2.678871,45.145454,0.477534,1.901203,0.000000,94.181816,0.996224,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.503636,1.164848,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.321213,155630,7.653333,0.081141,60.252728,0.638804,2.851001,42.841213,0.454205,2.003461,0.000000,93.385452,0.990079,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.483030,1.069091,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.360001,155694,7.653333,0.081108,61.929092,0.656307,2.773827,42.941818,0.455085,1.998767,0.000000,93.433937,0.990186,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.473333,1.168485,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.412125,155780,7.653333,0.081063,61.416969,0.650520,2.796956,42.798786,0.453319,2.005447,0.000000,93.419998,0.989492,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.405455,0.970303,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.681816,156225,7.653333,0.080832,61.846668,0.653205,2.777524,42.238182,0.446107,2.032064,0.000000,93.692123,0.989547,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.544242,0.972121,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.498787,155923,7.653333,0.080989,62.493332,0.661314,2.748783,44.294544,0.468731,1.937726,0.000000,93.556969,0.990034,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.447879,1.035758,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.746666,156332,7.653333,0.080777,62.273335,0.657261,2.758494,42.856365,0.452326,2.002752,0.000000,94.452118,0.996891,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.541818,0.972727,
